rank,char,freq,freq_percent,cum_freq_percent,stroke_count
1,µƒ,759834,4.8867,4.8867,8
2,“ª,218650,1.4062,6.2929,1
3, «,204548,1.3155,7.6084,9
4,≤ª,166481,1.0707,8.6791,4
5,¡À,147981,0.9517,9.6308,2
6,‘⁄,143951,0.9258,10.5566,6
7,”–,141221,0.9082,11.4648,6
8,»À,121628,0.7822,12.247,2
9,’‚,118473,0.7619,13.0089,7
10,…œ,93773,0.6031,13.612,3
11,¥Û,90830,0.5842,14.1962,3
12,¿¥,89806,0.5776,14.7738,7
13,∫Õ,89644,0.5765,15.3503,8
14,Œ“,89561,0.576,15.9263,7
15,∏ˆ,88999,0.5724,16.4987,3
16,÷–,84897,0.546,17.0447,4
17,µÿ,83575,0.5375,17.5822,6
18,Œ™,83201,0.5351,18.1173,4
19,À˚,76432,0.4916,18.6089,5
20,…˙,76261,0.4905,19.0994,5
21,“™,75230,0.4838,19.5832,9
22,√«,74062,0.4763,20.0595,5
23,“‘,72998,0.4695,20.529,4
24,µΩ,72392,0.4656,20.9946,8
25,π˙,67651,0.4351,21.4297,8
26, ±,67073,0.4314,21.8611,7
27,æÕ,65678,0.4224,22.2835,12
28,≥ˆ,62060,0.3991,22.6826,5
29,Àµ,60811,0.3911,23.0737,9
30,ª·,59732,0.3842,23.4579,6
31,“≤,58203,0.3743,23.8322,3
32,◊”,57123,0.3674,24.1996,3
33,—ß,55984,0.36,24.5596,8
34,∑¢,55875,0.3593,24.9189,5
35,◊≈,55666,0.358,25.2769,11
36,∂‘,54649,0.3515,25.6284,5
37,◊˜,54616,0.3512,25.9796,7
38,ƒ‹,54355,0.3496,26.3292,10
39,ø…,54066,0.3477,26.6769,5
40,”⁄,53387,0.3433,27.0202,3
41,≥…,53259,0.3425,27.3627,6
42,”√,52866,0.34,27.7027,5
43,π˝,50574,0.3253,28.028,6
44,∂Ø,50395,0.3241,28.3521,6
45,÷˜,50249,0.3232,28.6753,5
46,œ¬,49733,0.3198,28.9951,3
47,∂¯,49418,0.3178,29.3129,6
48,ƒÍ,47441,0.3051,29.618,6
49,∑÷,46501,0.2991,29.9171,4
50,µ√,46297,0.2977,30.2148,11
51,º“,45991,0.2958,30.5106,10
52,÷÷,45686,0.2938,30.8044,9
53,¿Ô,45585,0.2932,31.0976,7
54,∂‡,44206,0.2843,31.3819,6
55,æ≠,43430,0.2793,31.6612,8
56,◊‘,43412,0.2792,31.9404,6
57,œ÷,43040,0.2768,32.2172,8
58,Õ¨,42903,0.2759,32.4931,6
59,∫Û,42643,0.2742,32.7673,6
60,≤˙,42449,0.273,33.0403,6
61,∑Ω,41222,0.2651,33.3054,4
62,π§,40196,0.2585,33.5639,3
63,––,38811,0.2496,33.8135,6
64,√Ê,38643,0.2485,34.062,9
65,ƒ«,38600,0.2482,34.3102,6
66,–°,38190,0.2456,34.5558,3
67,À˘,38088,0.245,34.8008,8
68,∆,37939,0.244,35.0448,10
69,»•,37349,0.2402,35.285,5
70,÷Æ,37152,0.2389,35.5239,3
71,∂º,36919,0.2374,35.7613,10
72,»ª,36802,0.2367,35.998,12
73,¿Ì,36313,0.2335,36.2315,11
74,Ω¯,36069,0.232,36.4635,7
75,ÃÂ,36013,0.2316,36.6951,7
76,ªπ,35552,0.2286,36.9237,7
77,∂®,35474,0.2281,37.1518,8
78, µ,35331,0.2272,37.379,8
79,»Á,34418,0.2214,37.6004,6
80,√¥,33817,0.2175,37.8179,3
81,ŒÔ,33687,0.2166,38.0345,8
82,∑®,33568,0.2159,38.2504,8
83,ƒ„,33449,0.2151,38.4655,7
84,∫√,33058,0.2126,38.6781,6
85,–‘,33034,0.2125,38.8906,8
86,√Ò,32893,0.2115,39.1021,5
87,¥”,32796,0.2109,39.313,4
88,ÃÏ,32508,0.2091,39.5221,4
89,ªØ,32404,0.2084,39.7305,4
90,µ»,32364,0.2081,39.9386,12
91,¡¶,32108,0.2065,40.1451,2
92,±æ,31740,0.2041,40.3492,5
93,≥§,31680,0.2037,40.5529,4
94,–ƒ,31417,0.2021,40.755,4
95,∞—,31134,0.2002,40.9552,7
96,≤ø,31050,0.1997,41.1549,10
97,“Â,30754,0.1978,41.3527,3
98,—˘,30607,0.1968,41.5495,10
99, ¬,30452,0.1958,41.7453,8
100,ø¥,30442,0.1958,41.9411,9
